"Game","Opening","CandidateColor","Result","Reason","Plies","TimeMode","WhiteClockMs","BlackClockMs","CandidateThinkMs","BaselineThinkMs","Moves"
"1","0","white","draw","max plies","60","sudden","1514","1633","2486","2367","e2e4 c7c5 g1f3 e7e6 f1e2 b8c6 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 d7d6 e1g1 d6e5 d4e5 f8e7 d1c2 c8d7 f1d1 e8g8 b1c3 c6b4 c2d2 d8c7 a2a3 d5c3 d2c3 c7c3 b2c3 b4d5 c3c4 d5b6 c1e3 d7a4 d1c1 f8c8 f3d4 e7c5 f2f4 c8c7 g1f2 a8c8 h2h4 h7h5 g2g3 g7g6 c1c3 c7d7 d4c2 d7d2 e3c5 c8c5 c2e3 g8g7 c3c1 f7f6 e5f6 g7f6"
"2","0","black","draw","max plies","60","sudden","1772","1735","2265","2228","e2e4 c7c5 g1f3 e7e6 f1e2 b8c6 c2c4 g8f6 b1c3 e6e5 e1g1 d7d6 a2a3 f8e7 a1b1 e8g8 d2d3 c6d4 b2b3 h7h6 b3b4 b7b6 h2h3 c8d7 c1d2 a7a6 b4c5 b6c5 f3d4 e5d4 c3d5 f6d5 e4d5 e7g5 f2f4 g5h4 e2g4 f7f5 g4h5 g8h7 g1h2 g7g6 h5f3 h7g7 b1b7 f8f7 d1b3 h6h5 f1b1 h4f2 b3b6 d8f6 h2h1 f2e3 d2e3 d4e3 b6b2 f6b2 b1b2 h5h4"
