"Game","Opening","CandidateColor","Result","Reason","Plies","TimeMode","WhiteClockMs","BlackClockMs","CandidateThinkMs","BaselineThinkMs","Moves"
"25","12","white","candidate","time","23","fischer","174","99","2276","2547","d2d4 f7f5 g2g3 g8f6 f1g2 g7g6 g1f3 f8g7 e1g1 e8g8 c2c4 d7d6 b1c3 a7a5 f1e1 b8a6 a2a3 c7c6 c1f4 f6h5 e2e3 a6c7 d4d5"
"26","12","black","draw","max plies","60","fischer","655","582","2818","2695","d2d4 f7f5 g2g3 g8f6 f1g2 e7e6 g1f3 f8e7 c2c4 e8g8 e1g1 c7c6 b1c3 d7d5 d1b3 b8d7 a2a4 a7a5 f1d1 d8e8 f3e1 h7h6 c1f4 g7g5 f4c7 d5c4 b3c4 f6d5 c3d5 e6d5 c4c3 e7b4 c3c2 d7f6 e1d3 e8e7 c7e5 f6g4 e2e3 c8e6 g2f3 g4e5 d4e5 a8d8 a1c1 d5d4 d3b4 e7b4 e3d4 d8d4 d1d4 b4d4 b2b3 d4e5 c2d2 e6b3 c1b1 b3c4 b1b7 e5a1"
