"Game","Opening","CandidateColor","Result","Reason","Plies","TimeMode","WhiteClockMs","BlackClockMs","CandidateThinkMs","BaselineThinkMs","Moves"
"49","0","white","draw","max plies","60","movestogo","1023","1035","4977","4965","e2e4 c7c5 g1f3 e7e6 f1e2 b8c6 c2c3 d7d5 e4d5 e6d5 e1g1 g8f6 f1e1 f8e7 d2d4 e8g8 c1e3 d8b6 d1b3 c5c4 b3c2 b6c7 b2b3 b7b5 c2c1 a7a6 e3f4 e7d6 f4d6 c7d6 b3c4 b5c4 b1d2 c8f5 d2f1 f8e8 f1e3 f5e4 f3d2 e4g6 d2f3 g6e4 f3g5 e4g6 g5f3 a8b8 e2d1 g6e4 f3d2 e4d3 d1c2 c6e7 d2f3 e7g6 c1d1 g6f4 f3e5 d3c2 d1c2 f4g6"
"50","0","black","draw","max plies","60","movestogo","872","937","5063","5128","e2e4 c7c5 g1f3 e7e6 b1c3 d7d6 f1e2 a7a6 d2d4 c5d4 f3d4 f8e7 e1g1 g8f6 f2f4 e8g8 e2f3 d8c7 c1e3 b8c6 g1h1 c8d7 d4b3 a8c8 c3a4 c6b4 a4c3 b4c6 d1d2 b7b5 a2a3 h7h6 d2f2 c7b8 a1d1 a6a5 h2h3 b5b4 a3b4 a5b4 c3a4 e7d8 a4b6 d8b6 e3b6 e6e5 b6e3 e5f4 e3f4 c6e5 f2g3 g8h7 d1d2 f8e8 f1d1 e5f3 g3f3 f6e4 f4d6 b8a8"
