"Game","Opening","CandidateColor","Result","Reason","Plies","TimeMode","WhiteClockMs","BlackClockMs","CandidateThinkMs","BaselineThinkMs","Moves"
"49","0","white","draw","max plies","60","movestogo","1035","1027","4965","4973","e2e4 c7c5 g1f3 d7d6 f1b5 c8d7 b5d7 b8d7 c2c4 g8f6 d2d3 e7e6 e1g1 f8e7 h2h3 e8g8 b1c3 d7e5 a1b1 f6d7 a2a3 a7a6 f3e1 e5c6 b2b4 e7f6 c3e2 d8c7 e1c2 f8b8 a3a4 b7b5 a4b5 a6b5 b4c5 b5c4 c5d6 c7d6 d3c4 d6d1 b1b8 a8b8 f1d1 d7c5 f2f3 b8b1 d1e1 c5d3 e1d1 d3c5 d1f1 c5b3 c1a3 b1f1 g1f1 b3d2 f1f2 d2c4 a3c5 c6e5"
"50","0","black","candidate","time","56","movestogo","490","523","5477","6059","e2e4 c7c5 g1f3 e7e6 c2c3 g8f6 e4e5 f6d5 d2d4 c5d4 c3d4 d7d6 f1d3 d6e5 f3e5 b8c6 e1g1 c6e5 d4e5 c8d7 d1e2 d7c6 d3e4 d8c7 e4d5 c6d5 c1g5 f8e7 g5e7 c7e7 b1c3 d5c6 f1d1 e8g8 c3e4 a8d8 e4d6 f7f6 b2b3 c6d5 d6c4 d5c4 e2c4 f6e5 d1d8 f8d8 h2h3 h7h6 a1e1 d8d5 c4c8 g8h7 c8c2 h7g8 c2c8 g8h7"
